ID,approve,date,movie_name,score,short_review
翻滚吧！蛋堡,128,"
                    2018-07-23
                ",狄仁杰之四大天王 短评,30,密集恐惧症的噩梦，堪比《西游记》里的蜈蚣精
飞鸟凉,214,"
                    2018-07-23
                ",狄仁杰之四大天王 短评,40,脑洞大开，特效牛逼，徐克毕竟还是徐克，恶趣味满满，至少我被触手系和密恐折磨得相当酸爽。悬疑中穿插的喜剧元素这次相当可爱，当年一度不能接受《通天帝国》之后的“青春版组合”，如今已经越来越能get到每个演员的合适之处，啊啊啊，小新好萌啊！
别浪费时间了,224,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,50,7.24看的提前场，特效真的赞爆了，武打设计非常有意思，传说中的徐克的想象力原来在这里，奇幻但不是魔幻，在我能接受的范围内，比想象中好太多了！四星推荐，冲着赵又廷多加一星！
尼奥Nior,122,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,20,豆瓣点映 真的是太难看了…空有特效 破案也水得不行 法师这么能耐 早干嘛去了；冯绍峰的表演可以称为瞪眼表演法 全程撑眼表演；林狗负责搞笑的 但是无关情节的搞笑太多 大大稀释了紧张感…还有片名的四大天王 有毛线关系啊？！
张小北,53,"
                    2018-07-30
                ",狄仁杰之四大天王 短评,40,我看的是IMAX版，体验很爽。除了最后结局老爷玩儿的略有点脱线，其他的都是很棒的！三部曲里我最喜欢的一部。（老爷太喜欢红毛丹了，不知道为什么这么迷之爱恋……也许是资产太贵想反复用？）
水怪,123,"
                    2018-07-22
                ",狄仁杰之四大天王 短评,40,一场二十多年前的政治血案引发的灾祸，大体也是一曲献给体制内改革派的哀歌。堪称灭霸级的反派Boss，但却大跌眼镜地败倒在我朝倡导和谐与谅解的社会主义核心价值观裙下。奸人当道之朝，伴君如伴虎。现代感极强，敢玩，视觉想象力爆棚，但也是密恐患者的恶梦。
冯小强,188,"
                    2018-07-25
                ",狄仁杰之四大天王 短评,40,徐克也真是老狐狸呀…作为华语电影第一技术狂人和第一脑洞，他那些尖货，没舍得放到《西游伏妖篇》里，虽然是导演，但那是周星驰的IP。更没舍得放到《奇门遁甲》里，他只是监制而已…到了自己导演自己打造的狄仁杰系列，尖货全放出来了，牛逼，看爽了…
蜉蝣,138,"
                    2018-07-17
                ",狄仁杰之四大天王 短评,40,神龙案到底是怎样操作的？在大殿上XX（防剧透）是怎样施的方术？为什么老骆驼会混入死了一半人的异人族？狄仁杰的方术是怎样学习的？这些都没有讲清楚。但是，看得很爽！二刷+前作二刷依然看得很开心~
际.,99,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,20,徐克和狄仁杰都在干嘛，仅仅是在屏幕上挂一个名号吗。剧情丝毫没有狄仁杰这个概念，全靠特效撑（特效还很恶心），而且整部剧和四大天王有毛关系。哈哈哈哈阮经天拿到了一个最不需要演技的角色，全场演技最佳。
夏日么么茶,229,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,50,提前看过点映了，不愧是徐克，特效一级棒了，加入了天马行空的画面和桥段给观众不一样的冲击力，绝对是爽片，非常适合夏天看
老晃,46,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,30,视效上，可能是系列目前最出色的一部，怪力乱神处，许多亮眼设计，但语义上，却是最模糊的一部。权力的焦虑，引妖术惑众，本身是多么值得挖掘的具有当代性的议题，落入简单的家族复仇情结，顿时无聊了，如同重拳落空
小鹿乱撞,92,"
                    2018-07-28
                ",狄仁杰之四大天王 短评,10,毁了三少爷的剑，又毁了狄仁杰，徐克呀徐克
次等水货,146,"
                    2018-07-14
                ",狄仁杰之四大天王 短评,40,放眼华语影坛徐克的想象力真的无人能及，后半程为整部电影加太多分，会让人完全忽略某些年轻演员略显稚嫩的表演。
朝阳区陆依萍,48,"
                    2018-07-23
                ",狄仁杰之四大天王 短评,30,徐克想象力是有的，可能是我期待太高，整体有些失望！文戏太差！不过，我要是马思纯，虽然妆容丑，但男友二话不说当场给我卸妆，我真的会破口大骂哎！
YthguaN,96,"
                    2018-07-25
                ",狄仁杰之四大天王 短评,40,马思纯角色完全可以删除 剩这几个小面首搅基就够了【只赞特效100分 对徐老怪重燃爱火 
未尽,130,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,50,不能因为魔幻就瞅着往低分打，我不是药神这种现实题材是好电影，魔幻电影也可以是好电影，电影类型的多样性组成了这个五彩斑斓的光影世界。
风间隼,51,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,40,同样主攻“幻术”，《妖猫传》是“大唐春晚”，这一部是“怪兽轰趴”。金殿升龙霸，触手系瞻波伽，心猿大战进击的百目巨人，老怪始终是华语世界把古典意境与世界潮流调和得最班配的电影人。3D打戏延续了前几部的探索，剪辑速度放缓了，以巨大物体为背景，以肢体动作为经，用溅射的暗器和砂土为纬，交织出同样绵密的视觉刺激之网。马思纯和阮经天都被拍出了新感觉。
二十二岛主,80,"
                    2018-07-23
                ",狄仁杰之四大天王 短评,40,不像电影，更像一场方术奇观秀，多一星给了不起的想象力。和姜文一样，老爷这次也是玩脱了，而且十分注重个人趣味表达，索性不顾观众的感受，让上百只眼睛通过3D的方式直接飞到观众面前，这一幕成为了今年目前为止最让我头皮发麻毛骨悚然的场景，观影结束后久久难以出戏，同时也使得这一部《四大天王》令人难以忘怀，从这个角度说，本片就超越平庸的两部前作，《奇门遁甲》现在看来只是一次失败的试水，这一部才是老爷真正想象力的集中体现。可惜除了想象力外，叙事和演员表演都很糟糕，故事线一如既往混乱，文弱的冯绍峰演武将只会瞪眼贡献表情包更是灾难，人物塑造也有待加强。想把狄仁杰打造成更扎实的超级IP，老爷在文本上还得再下点功夫。
芦哲峰,44,"
                    2018-07-29
                ",狄仁杰之四大天王 短评,30,属于在影院里赞叹不已，出来之后无甚回味的特效大片。视效顶级堪比好莱坞，但剧不离奇，情不动人，视效之外，只能尔尔。是好看的电影，但不算好电影。
华盛顿樱桃树,55,"
                    2018-07-23
                ",狄仁杰之四大天王 短评,30,视效的产物。除了视效空无一物。演员们其实挺好的，都蛮卖力的，也各自有魅力。但作为老爷的，狄仁杰系列还是有些失望的。
么么哒,67,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,10,烂就一个字，圈钱圈的太不真诚了吧，一部又一部当观众傻吗
LORENZO,32,"
                    2018-07-29
                ",狄仁杰之四大天王 短评,30,1. 马思纯这个角色感觉是塞进来的，爱情线尴尬然而幸好不恶心。2.密集恐惧还以3D视效糊你一脸，这就恶心了。3. 林更新好萌，想养一只。4. 金刚什么鬼。5. 徐克果然有钱了，觉得武侠片又有救了，然而请不要拍成魔幻片好吗？
徐若风,64,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,40,"究极进化态的《奇门遁甲》（老版），东方的“好莱坞”思维所能产出的至高点。
徐克对大唐的奇幻想象已经巅峰造极，甚至差点到了过犹不及的地步。剧本方面，节奏框架可以，细节不行。"
Bless_U,49,"
                    2018-07-29
                ",狄仁杰之四大天王 短评,20,除了特效，没什么亮眼的，剧情很水，四大天王？？？
